Gen,aveSeqRuleSize,aveRouRuleSize,avePairSize
0,18,18,18
1,17,15,16
2,13,14,13
3,10,20,15
4,9,26,17
5,8,30,19
6,6,31,18
7,4,31,17
8,3,31,17
9,2,32,17
10,2,34,18
11,1,37,19
12,1,38,19
13,2,42,22
14,2,43,22
15,3,44,23
16,2,48,25
17,1,56,28
18,1,57,29
19,1,59,30
20,1,58,29
21,1,59,30
22,1,60,30
23,1,59,30
24,1,59,30
25,1,57,29
26,1,58,29
27,1,55,28
28,2,56,29
29,1,56,28
30,1,55,28
31,1,54,27
32,1,55,28
33,1,55,28
34,1,54,27
35,1,55,28
36,1,54,27
37,1,55,28
38,1,54,27
39,1,51,26
40,1,51,26
41,1,50,25
42,1,48,24
43,1,47,24
44,1,49,25
45,1,47,24
46,1,45,23
47,1,45,23
48,1,45,23
49,1,45,23
50,1,46,23
