Individual,Objective_0,Objective_1
Ind_0,Infinity,1.7976931348623157E308
Ind_1,Infinity,1.7976931348623157E308
Ind_2,Infinity,1.7976931348623157E308
Ind_3,Infinity,1.7976931348623157E308
Ind_4,Infinity,1.7976931348623157E308
Ind_5,Infinity,1.7976931348623157E308
Ind_6,Infinity,1.7976931348623157E308
Ind_7,Infinity,1.7976931348623157E308
Ind_8,Infinity,1.7976931348623157E308
Ind_9,Infinity,1.7976931348623157E308
Ind_10,Infinity,1.7976931348623157E308
Ind_11,Infinity,1.7976931348623157E308
Ind_12,Infinity,1.7976931348623157E308
Ind_13,Infinity,1.7976931348623157E308
Ind_14,Infinity,1.7976931348623157E308
Ind_15,Infinity,1.7976931348623157E308
Ind_16,Infinity,1.7976931348623157E308
Ind_17,Infinity,1.7976931348623157E308
Ind_18,Infinity,1.7976931348623157E308
Ind_19,Infinity,1.7976931348623157E308
Ind_20,Infinity,1.7976931348623157E308
Ind_21,Infinity,1.7976931348623157E308
Ind_22,Infinity,1.7976931348623157E308
Ind_23,Infinity,1.7976931348623157E308
Ind_24,Infinity,1.7976931348623157E308
Ind_25,Infinity,1.7976931348623157E308
Ind_26,Infinity,1.7976931348623157E308
Ind_27,Infinity,1.7976931348623157E308
Ind_28,Infinity,1.7976931348623157E308
Ind_29,Infinity,1.7976931348623157E308
Ind_30,Infinity,1.7976931348623157E308
Ind_31,Infinity,1.7976931348623157E308
Ind_32,Infinity,1.7976931348623157E308
Ind_33,Infinity,1.7976931348623157E308
Ind_34,Infinity,1.7976931348623157E308
Ind_35,Infinity,1.7976931348623157E308
Ind_36,Infinity,1.7976931348623157E308
Ind_37,Infinity,1.7976931348623157E308
Ind_38,Infinity,1.7976931348623157E308
Ind_39,Infinity,1.7976931348623157E308
Ind_40,Infinity,1.7976931348623157E308
Ind_41,Infinity,1.7976931348623157E308
Ind_42,Infinity,1.7976931348623157E308
Ind_43,Infinity,1.7976931348623157E308
Ind_44,Infinity,1.7976931348623157E308
Ind_45,Infinity,1.7976931348623157E308
Ind_46,Infinity,1.7976931348623157E308
Ind_47,Infinity,1.7976931348623157E308
Ind_48,Infinity,1.7976931348623157E308
Ind_49,Infinity,1.7976931348623157E308
Ind_50,Infinity,1.7976931348623157E308
Ind_51,Infinity,1.7976931348623157E308
Ind_52,Infinity,1.7976931348623157E308
Ind_53,Infinity,1.7976931348623157E308
Ind_54,Infinity,1.7976931348623157E308
Ind_55,Infinity,1.7976931348623157E308
Ind_56,Infinity,1.7976931348623157E308
Ind_57,Infinity,1.7976931348623157E308
Ind_58,Infinity,1.7976931348623157E308
Ind_59,Infinity,1.7976931348623157E308
Ind_60,Infinity,1.7976931348623157E308
Ind_61,Infinity,1.7976931348623157E308
Ind_62,Infinity,1.7976931348623157E308
Ind_63,Infinity,1.7976931348623157E308
Ind_64,Infinity,1.7976931348623157E308
Ind_65,Infinity,1.7976931348623157E308
Ind_66,Infinity,1.7976931348623157E308
Ind_67,Infinity,1.7976931348623157E308
Ind_68,Infinity,1.7976931348623157E308
Ind_69,Infinity,1.7976931348623157E308
Ind_70,Infinity,1.7976931348623157E308
Ind_71,Infinity,1.7976931348623157E308
Ind_72,Infinity,1.7976931348623157E308
Ind_73,Infinity,1.7976931348623157E308
Ind_74,Infinity,1.7976931348623157E308
Ind_75,Infinity,1.7976931348623157E308
Ind_76,Infinity,1.7976931348623157E308
Ind_77,Infinity,1.7976931348623157E308
Ind_78,Infinity,1.7976931348623157E308
Ind_79,Infinity,1.7976931348623157E308
Ind_80,Infinity,1.7976931348623157E308
Ind_81,Infinity,1.7976931348623157E308
Ind_82,Infinity,1.7976931348623157E308
